Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7054178,"Witch and Wizard (Witch and Wizard, #1)",James Patterson,"Patterson, James",,,2.94E+12,4,3.55,"Little, Brown & Company",Nook,336,2009,2009,,12/29/2014,,,read,,,,1,,,0,,,,,
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,375507256,9.78E+12,0,3.99,Random House,Paperback,509,2004,2004,,12/29/2014,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
14864,Plain Truth,Jodi Picoult,"Picoult, Jodi",,743275012,9.78E+12,3,3.97,Atria Books,Hardcover,405,2004,2000,,12/29/2014,,,read,,,,1,,,0,,,,,
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,,,0,3.92,Ace,Paperback,525,1991,1961,,12/29/2014,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
22034,"The Godfather (The Godfather, #1)",Mario Puzo,"Puzo, Mario","Robert Thompson, Peter Bart",,,0,4.36,NAL,Paperback,448,2002,1969,,12/29/2014,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
1375,The Iliad/The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox",147712556,9.78E+12,4,4.05,Penguin Classics,Paperback,1556,1999,-800,,12/29/2014,,,read,,,,1,,,0,,,,,
8852,Macbeth,William Shakespeare,"Shakespeare, William",,743477103,9.78E+12,4,3.9,Simon & Schuster,Paperback,249,2013,1606,,12/29/2014,,,read,,,,1,,,0,,,,,
28194,"Inkheart (Inkworld, #1)",Cornelia Funke,"Funke, Cornelia",Anthea Bell,439709105,9.78E+12,4,3.89,Scholastic Paperbacks,Paperback,563,2005,2003,,12/29/2014,,,read,,,,1,,,0,,,,,
116477,The Girls Who Went Away: The Hidden History of Women Who Surrendered Children for Adoption in the Decades Before Roe V. Wade,Ann Fessler,"Fessler, Ann",,1594200947,9.78E+12,3,4.2,Penguin Press,Hardcover,354,2006,2006,,12/29/2014,,,read,,,,1,,,0,,,,,
368468,"Bud, Not Buddy",Christopher Paul Curtis,"Curtis, Christopher Paul",,385323069,9.78E+12,4,3.94,Delacorte Books for Young Readers,Hardcover,243,1999,1999,,10/12/2013,,,read,,,,1,,,0,,,,,
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,385732554,9.78E+12,5,4.13,Ember,Paperback,208,2006,1993,,4/11/2013,,,read,,,,1,,,0,,,,,
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"Yancey, Rick",,399162410,9.78E+12,4,4.02,G.P. Putnam's Sons Books for Young Readers,Hardcover,457,2013,2013,,5/15/2013,,,read,,,,1,,,0,,,,,
333766,Banner in the Sky,James Ramsey Ullman,"Ullman, James Ramsey",,64470482,9.78E+12,3,3.82,HarperTeen,Paperback,288,1988,1954,,12/29/2014,,,read,,,,1,,,0,,,,,
7745,Fear and Loathing in Las Vegas,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,679785892,9.78E+12,0,4.07,Vintage Books,Paperback,204,1998,1971,,12/29/2014,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
2547,The Prophet,Kahlil Gibran,"Gibran, Kahlil",,000100039X,9.78E+12,0,4.21,Rupa & Co,Paperback,127,2010,1923,,12/29/2014,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
23552486,Naked Human,Christopher Poindexter,"Poindexter, Christopher",,,,0,4.23,UNDERWATER MOUNTAINS PUBLISHING,,180,2015,2015,,11/24/2014,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,60557818,9.78E+12,0,4.16,William Morrow Paperbacks,Paperback,370,2003,1996,,10/19/2014,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
15839976,Red Rising (Red Rising Saga #1),Pierce Brown,"Brown, Pierce",,345539788,9.78E+12,5,4.23,Del Rey,Hardcover,382,2014,2014,,5/20/2014,,,read,,,,1,,,0,,,,,
15777621,This Song Will Save Your Life,Leila Sales,"Sales, Leila",,374351384,9.78E+12,4,3.91,"Farrar, Straus and Giroux (BYR)",Hardcover,276,2013,2013,,4/24/2014,,,read,,,,1,,,0,,,,,
7061,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Alexander McCall Smith,"Smith, Alexander McCall",,1400034779,9.78E+12,4,3.8,Anchor Books,Paperback,235,2003,1998,,8/13/2014,,,read,,,,1,,,0,,,,,
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,1400032717,9.78E+12,4,3.89,Vintage,Paperback,226,2004,2003,,4/11/2013,,,read,,,,1,,,0,,,,,
3432478,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",Carrie Ryan,"Ryan, Carrie",,575090855,9.78E+12,3,3.6,Gollancz,Paperback,310,2009,2009,,2/28/2013,,,read,,,,1,,,0,,,,,
7304203,"Shadowfever (Fever, #5)",Karen Marie Moning,"Moning, Karen Marie",,385341679,9.78E+12,4,4.38,Delacorte Press,Hardcover,608,2011,2011,,8/1/2014,,,read,,,,1,,,0,,,,,
6050298,"Dreamfever (Fever, #4)",Karen Marie Moning,"Moning, Karen Marie",,385341652,9.78E+12,4,4.37,Delacorte Press,Hardcover,386,2009,2009,,8/1/2014,,,read,,,,1,,,0,,,,,
2702704,"Faefever (Fever, #3)",Karen Marie Moning,"Moning, Karen Marie",,385341636,9.78E+12,3,4.29,Delacorte Press,Hardcover,327,2008,2008,,8/1/2014,,,read,,,,1,,,0,,,,,
344262,"Bloodfever (Fever, #2)",Karen Marie Moning,"Moning, Karen Marie",,038533916X,9.78E+12,3,4.25,Delacorte Press,Hardcover,303,2007,2007,,7/25/2014,,,read,,,,1,,,0,,,,,
15798757,Maggot Moon,Sally Gardner,"Gardner, Sally",,763665533,9.78E+12,4,3.82,Candlewick,Hardcover,288,2013,2012,,7/25/2014,,,read,,,,1,,,0,,,,,
17236366,"Sea of Shadows (Age of Legends, #1)",Kelley Armstrong,"Armstrong, Kelley",,,,5,3.76,HarperCollins,Kindle Edition,406,2014,2014,,7/22/2014,,,read,,,,1,,,0,,,,,
13618440,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",Laini Taylor,"Taylor, Laini",,316134074,9.78E+12,5,4.1,"Little, Brown & Company",Hardcover,613,2014,2014,,3/19/2014,,,read,,,,1,,,0,,,,,
11505797,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,"McGuire, Jamie",,,,2,4.06,Jamie McGuire,Kindle Edition,319,2011,2011,,6/16/2014,,,read,,,,1,,,0,,,,,
7248435,"The Chaos (Numbers, #2)",Rachel Ward,"Ward, Rachel",,1906427305,9.78E+12,2,3.82,Chicken House,Paperback,345,2010,2010,,10/10/2013,,,read,,,,1,,,0,,,,,
6304335,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,"Garcia, Kami",Margaret Stohl,316042676,9.78E+12,3,3.76,"Little, Brown and Company",Hardcover,563,2009,2009,,2/27/2013,,,read,,,,1,,,0,,,,,
17399160,"Snow Like Ashes (Snow Like Ashes, #1)",Sara Raasch,"Raasch, Sara",,62286927,9.78E+12,0,3.87,Balzer + Bray,Hardcover,422,2014,2014,,7/7/2014,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,"Paolini, Christopher",,375826696,9.78E+12,4,3.92,Alfred A. Knopf,Paperback,503,2005,2002,,4/6/2013,,,read,,,,1,,,0,,,,,
